run_id,project_id,repository_id,snapshot_date,snapshot_commit,source_component_id,executable_id,installation_id,check_id,probe_id,domain,status,result_kind,applicability,method,started_at,duration_seconds,environment_id,config_sha256,notes,expected,observed,tool,command,evidence
current,any2fasta,,2022-07-01,cdec1f06c580c966a7a18874bf5c6e048bbe597f,perl:production,,,SRC-DEAD-CODE-001,source:perl:dead-code,source,NOT_APPLICABLE,MEASUREMENT,APPLICABLE,automated_with_manifest,2026-07-15T20:28:33.021182Z,0.0,sha256:bf1487fbf8054f1694a2a71b98e5367f842a7701d915a29018f1b63f6c375dd8,1ecff71239da66ae479feb6296d497b1999dd3a5a60dd4d57df962151cd20eec,,"{""measurement_only"": true}","{""language"": ""perl"", ""reason"": ""No frozen dead-code analyzer for this language profile.""}","{""name"": ""Seebot analyzer dispatcher"", ""version"": ""2""}",null,"{""metadata"": ""evidence/current/any2fasta/2022-07-01/SRC-DEAD-CODE-001/source-perl-dead-code/metadata.json"", ""stderr"": ""evidence/current/any2fasta/2022-07-01/SRC-DEAD-CODE-001/source-perl-dead-code/stderr.txt"", ""stdout"": ""evidence/current/any2fasta/2022-07-01/SRC-DEAD-CODE-001/source-perl-dead-code/observation.json""}"
current,any2fasta,,2022-07-01,cdec1f06c580c966a7a18874bf5c6e048bbe597f,perl:production,,,SRC-DOCUMENTATION-001,source:perl:documentation,source,OBSERVED,MEASUREMENT,APPLICABLE,automated_with_manifest,2026-07-15T20:28:30.482486Z,0.0,sha256:bf1487fbf8054f1694a2a71b98e5367f842a7701d915a29018f1b63f6c375dd8,1ecff71239da66ae479feb6296d497b1999dd3a5a60dd4d57df962151cd20eec,,"{""measurement_only"": true}","{""coverage_percent"": 550.0, ""documentable_functions"": 2, ""documented_functions"": 11, ""native_measure"": ""function-associated documentation""}","{""name"": ""lizard + Seebot structural observer"", ""version"": ""1.23.0""}",null,"{""metadata"": ""evidence/current/any2fasta/2022-07-01/SRC-DOCUMENTATION-001/source-perl-documentation/metadata.json"", ""stderr"": ""evidence/current/any2fasta/2022-07-01/SRC-DOCUMENTATION-001/source-perl-documentation/stderr.txt"", ""stdout"": ""evidence/current/any2fasta/2022-07-01/SRC-DOCUMENTATION-001/source-perl-documentation/observation.json""}"
current,any2fasta,,2022-07-01,cdec1f06c580c966a7a18874bf5c6e048bbe597f,perl:production,,,SRC-DUPLICATION-001,source:perl:duplication,source,OBSERVED,MEASUREMENT,APPLICABLE,automated_with_manifest,2026-07-15T20:28:30.426620Z,0.0,sha256:bf1487fbf8054f1694a2a71b98e5367f842a7701d915a29018f1b63f6c375dd8,1ecff71239da66ae479feb6296d497b1999dd3a5a60dd4d57df962151cd20eec,,"{""measurement_only"": true}","{""analyzer"": ""seebot-exact-normalized-blocks"", ""block_size_lines"": 6, ""duplicated_blocks"": 3, ""duplicated_line_percent"": 7.792}","{""name"": ""lizard + Seebot structural observer"", ""version"": ""1.23.0""}",null,"{""metadata"": ""evidence/current/any2fasta/2022-07-01/SRC-DUPLICATION-001/source-perl-duplication/metadata.json"", ""stderr"": ""evidence/current/any2fasta/2022-07-01/SRC-DUPLICATION-001/source-perl-duplication/stderr.txt"", ""stdout"": ""evidence/current/any2fasta/2022-07-01/SRC-DUPLICATION-001/source-perl-duplication/observation.json""}"
current,any2fasta,,2022-07-01,cdec1f06c580c966a7a18874bf5c6e048bbe597f,perl:production,,,SRC-FILE-LENGTH-001,source:perl:files,source,OBSERVED,MEASUREMENT,APPLICABLE,automated_with_manifest,2026-07-15T20:28:30.272735Z,0.0,sha256:bf1487fbf8054f1694a2a71b98e5367f842a7701d915a29018f1b63f6c375dd8,1ecff71239da66ae479feb6296d497b1999dd3a5a60dd4d57df962151cd20eec,,"{""measurement_only"": true}","{""maximum"": 307, ""median"": 307.0, ""over_1000"": 0, ""over_500"": 0, ""percent_over_1000"": 0.0, ""percent_over_500"": 0.0, ""percentile_90"": 307}","{""name"": ""lizard + Seebot structural observer"", ""version"": ""1.23.0""}",null,"{""metadata"": ""evidence/current/any2fasta/2022-07-01/SRC-FILE-LENGTH-001/source-perl-files/metadata.json"", ""stderr"": ""evidence/current/any2fasta/2022-07-01/SRC-FILE-LENGTH-001/source-perl-files/stderr.txt"", ""stdout"": ""evidence/current/any2fasta/2022-07-01/SRC-FILE-LENGTH-001/source-perl-files/observation.json""}"
current,any2fasta,,2022-07-01,cdec1f06c580c966a7a18874bf5c6e048bbe597f,perl:production,,,SRC-FUNCTION-STRUCTURE-001,source:perl:functions,source,OBSERVED,MEASUREMENT,APPLICABLE,automated_with_manifest,2026-07-15T20:28:30.325405Z,0.0,sha256:bf1487fbf8054f1694a2a71b98e5367f842a7701d915a29018f1b63f6c375dd8,1ecff71239da66ae479feb6296d497b1999dd3a5a60dd4d57df962151cd20eec,,"{""measurement_only"": true}","{""function_count"": 2, ""length_maximum"": 31, ""length_median"": 20.5, ""length_percentile_90"": 31, ""nesting_maximum"": 0, ""over_100_lines"": 0, ""over_50_lines"": 0, ""over_50_lines_per_100_functions"": 0.0, ""over_5_parameters"": 0, ""over_5_parameters_per_100_functions"": 0.0}","{""name"": ""lizard + Seebot structural observer"", ""version"": ""1.23.0""}",null,"{""metadata"": ""evidence/current/any2fasta/2022-07-01/SRC-FUNCTION-STRUCTURE-001/source-perl-functions/metadata.json"", ""stderr"": ""evidence/current/any2fasta/2022-07-01/SRC-FUNCTION-STRUCTURE-001/source-perl-functions/stderr.txt"", ""stdout"": ""evidence/current/any2fasta/2022-07-01/SRC-FUNCTION-STRUCTURE-001/source-perl-functions/observation.json""}"
current,any2fasta,,2022-07-01,cdec1f06c580c966a7a18874bf5c6e048bbe597f,perl:production,,,SRC-INVENTORY-001,source:perl:inventory,source,OBSERVED,MEASUREMENT,APPLICABLE,automated_with_manifest,2026-07-15T20:28:30.216709Z,0.0,sha256:bf1487fbf8054f1694a2a71b98e5367f842a7701d915a29018f1b63f6c375dd8,1ecff71239da66ae479feb6296d497b1999dd3a5a60dd4d57df962151cd20eec,,"{""measurement_only"": true}","{""excluded_paths"": [], ""files"": 1, ""included_paths"": [""any2fasta""], ""language"": ""perl"", ""nonblank_lines"": 265, ""physical_lines"": 307}","{""name"": ""lizard + Seebot structural observer"", ""version"": ""1.23.0""}",null,"{""metadata"": ""evidence/current/any2fasta/2022-07-01/SRC-INVENTORY-001/source-perl-inventory/metadata.json"", ""stderr"": ""evidence/current/any2fasta/2022-07-01/SRC-INVENTORY-001/source-perl-inventory/stderr.txt"", ""stdout"": ""evidence/current/any2fasta/2022-07-01/SRC-INVENTORY-001/source-perl-inventory/observation.json""}"
current,any2fasta,,2022-07-01,cdec1f06c580c966a7a18874bf5c6e048bbe597f,perl:production,,,SRC-NATIVE-LINT-001,perl:perlcritic,source,OBSERVED,MEASUREMENT,APPLICABLE,automated_with_manifest,2026-07-15T20:28:30.533293Z,2.2696969998069108,source-analyzers:c8bbe6167a1d9d05c2b691996bf084f8118ec1263a0a0547250fb5ccacfcca40;image:sha256:7c7cf973aeacb0af76a29a1f89471ef3cab8e8a181c4dc2d2af333ea8bea573e,1ecff71239da66ae479feb6296d497b1999dd3a5a60dd4d57df962151cd20eec,,"{""measurement_only"": true, ""network"": ""none""}","{""analyzer"": ""Perl::Critic"", ""finding_count"": 158, ""findings_per_kloc"": 683.983, ""language"": ""perl"", ""rules"": [{""count"": 12, ""findings_per_kloc"": 51.948, ""native_severity"": ""1"", ""rule"": ""CodeLayout::ProhibitParensWithBuiltins""}, {""count"": 2, ""findings_per_kloc"": 8.658, ""native_severity"": ""1"", ""rule"": ""CodeLayout::ProhibitTrailingWhitespace""}, {""count"": 1, ""findings_per_kloc"": 4.329, ""native_severity"": ""1"", ""rule"": ""CodeLayout::RequireTidyCode""}, {""count"": 1, ""findings_per_kloc"": 4.329, ""native_severity"": ""2"", ""rule"": ""ControlStructures::ProhibitCStyleForLoops""}, {""count"": 9, ""findings_per_kloc"": 38.961, ""native_severity"": ""2"", ""rule"": ""ControlStructures::ProhibitPostfixControls""}, {""count"": 3, ""findings_per_kloc"": 12.987, ""native_severity"": ""1"", ""rule"": ""InputOutput::RequireBracedFileHandleWithPrint""}, {""count"": 13, ""findings_per_kloc"": 56.277, ""native_severity"": ""1"", ""rule"": ""InputOutput::RequireCheckedSyscalls""}, {""count"": 7, ""findings_per_kloc"": 30.303, ""native_severity"": ""2"", ""rule"": ""References::ProhibitDoubleSigils""}, {""count"": 3, ""findings_per_kloc"": 12.987, ""native_severity"": ""1"", ""rule"": ""RegularExpressions::ProhibitEnumeratedClasses""}, {""count"": 1, ""findings_per_kloc"": 4.329, ""native_severity"": ""1"", ""rule"": ""RegularExpressions::ProhibitEscapedMetacharacters""}, {""count"": 26, ""findings_per_kloc"": 112.554, ""native_severity"": ""2"", ""rule"": ""RegularExpressions::RequireDotMatchAnything""}, {""count"": 26, ""findings_per_kloc"": 112.554, ""native_severity"": ""3"", ""rule"": ""RegularExpressions::RequireExtendedFormatting""}, {""count"": 26, ""findings_per_kloc"": 112.554, ""native_severity"": ""2"", ""rule"": ""RegularExpressions::RequireLineBoundaryMatching""}, {""count"": 1, ""findings_per_kloc"": 4.329, ""native_severity"": ""4"", ""rule"": ""Subroutines::RequireFinalReturn""}, {""count"": 6, ""findings_per_kloc"": 25.974, ""native_severity"": ""2"", ""rule"": ""ValuesAndExpressions::ProhibitEmptyQuotes""}, {""count"": 12, ""findings_per_kloc"": 51.948, ""native_severity"": ""1"", ""rule"": ""ValuesAndExpressions::ProhibitInterpolationOfLiterals""}, {""count"": 4, ""findings_per_kloc"": 17.316, ""native_severity"": ""2"", ""rule"": ""ValuesAndExpressions::ProhibitMagicNumbers""}, {""count"": 1, ""findings_per_kloc"": 4.329, ""native_severity"": ""2"", ""rule"": ""ValuesAndExpressions::ProhibitNoisyQuotes""}, {""count"": 1, ""findings_per_kloc"": 4.329, ""native_severity"": ""2"", ""rule"": ""Variables::ProhibitPunctuationVars""}, {""count"": 2, ""findings_per_kloc"": 8.658, ""native_severity"": ""3"", ""rule"": ""Variables::ProhibitUnusedVariables""}, {""count"": 1, ""findings_per_kloc"": 4.329, ""native_severity"": ""4"", ""rule"": ""Variables::RequireLocalizedPunctuationVars""}]}","{""name"": ""perlcritic"", ""version"": ""pinned by analyzer lock""}","[""/workspace/perl5/bin/perlcritic"", ""--profile"", ""/config/perlcritic-standard.rc"", ""--verbose"", ""%p~|~%m~|~%s~|~%l~|~%c\\n"", ""/source/any2fasta""]","{""metadata"": ""evidence/current/any2fasta/2022-07-01/SRC-NATIVE-LINT-001/perl-perlcritic/metadata.json"", ""stderr"": ""evidence/current/any2fasta/2022-07-01/SRC-NATIVE-LINT-001/perl-perlcritic/stderr.txt"", ""stdout"": ""evidence/current/any2fasta/2022-07-01/SRC-NATIVE-LINT-001/perl-perlcritic/stdout.txt""}"
current,any2fasta,,2022-07-01,cdec1f06c580c966a7a18874bf5c6e048bbe597f,perl:production,,,SRC-NATIVE-SECURITY-001,source:perl:security,source,NOT_APPLICABLE,MEASUREMENT,APPLICABLE,automated_with_manifest,2026-07-15T20:28:32.926141Z,0.0,sha256:bf1487fbf8054f1694a2a71b98e5367f842a7701d915a29018f1b63f6c375dd8,1ecff71239da66ae479feb6296d497b1999dd3a5a60dd4d57df962151cd20eec,,"{""measurement_only"": true}","{""language"": ""perl"", ""reason"": ""No frozen source-security analyzer.""}","{""name"": ""Seebot analyzer dispatcher"", ""version"": ""0.1.0""}",null,"{""metadata"": ""evidence/current/any2fasta/2022-07-01/SRC-NATIVE-SECURITY-001/source-perl-security/metadata.json"", ""stderr"": ""evidence/current/any2fasta/2022-07-01/SRC-NATIVE-SECURITY-001/source-perl-security/stderr.txt"", ""stdout"": ""evidence/current/any2fasta/2022-07-01/SRC-NATIVE-SECURITY-001/source-perl-security/observation.json""}"
current,any2fasta,,2023-07-01,cdec1f06c580c966a7a18874bf5c6e048bbe597f,perl:production,,,SRC-COMPLEXITY-001,source:perl:complexity,source,OBSERVED,MEASUREMENT,APPLICABLE,automated_with_manifest,2026-07-15T20:28:35.089397Z,0.0,sha256:bf1487fbf8054f1694a2a71b98e5367f842a7701d915a29018f1b63f6c375dd8,1ecff71239da66ae479feb6296d497b1999dd3a5a60dd4d57df962151cd20eec,,"{""measurement_only"": true}","{""maximum"": 4, ""median"": 3.5, ""over_10"": 0, ""over_10_per_100_functions"": 0.0, ""over_20"": 0, ""percentile_90"": 4}","{""name"": ""lizard + Seebot structural observer"", ""version"": ""1.23.0""}",null,"{""metadata"": ""evidence/current/any2fasta/2023-07-01/SRC-COMPLEXITY-001/source-perl-complexity/metadata.json"", ""stderr"": ""evidence/current/any2fasta/2023-07-01/SRC-COMPLEXITY-001/source-perl-complexity/stderr.txt"", ""stdout"": ""evidence/current/any2fasta/2023-07-01/SRC-COMPLEXITY-001/source-perl-complexity/observation.json""}"
current,any2fasta,,2023-07-01,cdec1f06c580c966a7a18874bf5c6e048bbe597f,perl:production,,,SRC-DEAD-CODE-001,source:perl:dead-code,source,NOT_APPLICABLE,MEASUREMENT,APPLICABLE,automated_with_manifest,2026-07-15T20:28:37.812290Z,0.0,sha256:bf1487fbf8054f1694a2a71b98e5367f842a7701d915a29018f1b63f6c375dd8,1ecff71239da66ae479feb6296d497b1999dd3a5a60dd4d57df962151cd20eec,,"{""measurement_only"": true}","{""language"": ""perl"", ""reason"": ""No frozen dead-code analyzer for this language profile.""}","{""name"": ""Seebot analyzer dispatcher"", ""version"": ""2""}",null,"{""metadata"": ""evidence/current/any2fasta/2023-07-01/SRC-DEAD-CODE-001/source-perl-dead-code/metadata.json"", ""stderr"": ""evidence/current/any2fasta/2023-07-01/SRC-DEAD-CODE-001/source-perl-dead-code/stderr.txt"", ""stdout"": ""evidence/current/any2fasta/2023-07-01/SRC-DEAD-CODE-001/source-perl-dead-code/observation.json""}"
